id,category,number,path,japanese,chinese,jlpt,source,priority,stage,note,created,updated,batch
53,keigo,007,keigo/007_授受表現系統.md,授受表現系統,あげる/もらう/くれる,n4,v1.1.1-extension-review,High,completed,從 001_itadaku 識別,2025-12-22,2025-12-22,
54,grammar,002,grammar/002_〜ていただく.md,〜ていただく,補助動詞用法,n4,v1.1.1-extension-review,High,completed,從 001_itadaku 識別,2025-12-22,2025-12-22,
55,keigo,008,keigo/008_クッション言葉.md,クッション言葉,緩衝語,n3,v1.1.1-extension-review,High,completed,從 002_onegai_keigo 識別,2025-12-22,2025-12-22,
56,phrase,027,phrase/027_ごめん.md,ごめん,對不起（口語）,n5,v1.1.1-extension-review,High,completed,從 023_gomennasai 識別,2025-12-22,2025-12-22,
57,nuance,001,nuance/001_まだ的多重意義.md,まだ的多重意義,肯定/否定差異,n4,v1.1.1-extension-review,Medium,completed,從 011_mada_vs_madamada 識別,2025-12-22,2025-12-22,
58,comparison,021,comparison/021_低い_vs_安い.md,低い vs 安い,低/便宜,n5,v1.1.1-extension-review,Medium,completed,從 004_hikui 識別,2025-12-22,2025-12-22,
59,nuance,002,nuance/002_大変的雙重用法.md,大変的雙重用法,副詞/形容詞,n4,v1.1.1-extension-review,Medium,completed,從 002_taihen 識別,2025-12-22,2025-12-22,
60,comparison,022,comparison/022_もう_vs_まだ.md,もう vs まだ,已經/還,n5,v1.1.1-extension-review,Medium,completed,從 008_mou 識別,2025-12-22,2025-12-22,
61,nuance,003,nuance/003_もう的多重意義.md,もう的多重意義,已經/不再/馬上,n4,v1.1.1-extension-review,Medium,completed,從 008_mou 識別,2025-12-22,2025-12-22,
62,grammar,003,grammar/003_けれども縮約形.md,けれども縮約形,けど/けれど,n4,v1.1.1-extension-review,Medium,completed,從 004_keredomo 識別,2025-12-22,2025-12-22,
